sample,pair,open_date,close_date,profit_ratio,is_win,risk_pct,compression_high,false_break_3h,false_break_6h,hit_half_r_6h,hit_1r_12h,max_favorable_r,max_adverse_r
full_20221001_20260507,ZEC/USDT:USDT,2024-05-23 04:00:00+00:00,2024-05-23 13:00:00+00:00,-0.03647988979797806,False,0.03544927513988383,24.98,True,True,False,False,0.2581832052977854,1.1898878157202246
full_20221001_20260507,XRP/USDT:USDT,2024-07-21 05:00:00+00:00,2024-07-21 11:00:00+00:00,-0.028164679479537106,False,0.027184224661167166,0.5981,True,True,False,False,0.3913408605520111,1.3146607034169249
full_20221001_20260507,XRP/USDT:USDT,2024-07-24 09:00:00+00:00,2024-07-25 20:00:00+00:00,-0.04017830591243037,False,0.039083062232145825,0.6054,False,False,True,False,0.8006215830604307,0.187645683529791
full_20221001_20260507,DOGE/USDT:USDT,2024-07-27 10:00:00+00:00,2024-07-27 17:00:00+00:00,-0.02638707500800107,False,0.025372395378950093,0.135,True,True,True,False,0.9540542666500952,1.0965806662411217
full_20221001_20260507,XRP/USDT:USDT,2024-09-21 17:00:00+00:00,2024-09-22 22:00:00+00:00,-0.042893488563675974,False,0.04180442002190656,0.5874,False,False,False,False,0.33245481539865807,0.4076529284055026
full_20221001_20260507,BNB/USDT:USDT,2024-09-21 06:00:00+00:00,2024-09-23 16:00:00+00:00,0.050006848646888626,True,0.01852045589429911,572.99,False,False,True,True,1.2970457845730619,0.03668222305899011
full_20221001_20260507,XRP/USDT:USDT,2024-09-28 08:00:00+00:00,2024-09-29 14:00:00+00:00,0.05005726761168094,True,0.040372815306040026,0.593,False,False,True,False,0.750085936409657,0.48918648026716877
full_20221001_20260507,ZEC/USDT:USDT,2024-10-18 13:00:00+00:00,2024-10-19 02:00:00+00:00,-0.03793355283255568,False,0.036907515566443984,36.39,True,True,True,False,0.6568872169200177,0.9668789372642967
full_20221001_20260507,DOGE/USDT:USDT,2024-10-28 13:00:00+00:00,2024-10-28 19:00:00+00:00,0.049990597737776775,True,0.047212464738452954,0.14695,True,True,True,True,2.06887364456656,0.23242547185838083
full_20221001_20260507,BNB/USDT:USDT,2024-11-10 12:00:00+00:00,2024-11-10 20:00:00+00:00,-0.03392052355100534,False,0.03257285908123226,639.5,True,True,False,False,0.1137778015832723,1.108616478452141
full_20221001_20260507,BNB/USDT:USDT,2024-11-16 12:00:00+00:00,2024-11-17 01:00:00+00:00,-0.024232867880855314,False,0.023049050473177776,627.91,True,True,False,False,0.2255054455166567,0.8270824724284458
full_20221001_20260507,DOGE/USDT:USDT,2024-11-29 11:00:00+00:00,2024-11-29 20:00:00+00:00,0.050010524246566976,True,0.03885190963101183,0.41285,True,True,True,True,1.4412067342514052,0.34943987570350726
full_20221001_20260507,BNB/USDT:USDT,2024-12-07 16:00:00+00:00,2024-12-08 09:00:00+00:00,-0.036399503137681706,False,0.03469555716000834,749.9,False,True,False,False,0.2249971433812952,0.33368220416717
full_20221001_20260507,BNB/USDT:USDT,2025-01-06 02:00:00+00:00,2025-01-07 15:00:00+00:00,-0.01610710059622803,False,0.015030072248675492,710.48,False,False,False,False,0.9588246266702225,0.16898467130214737
full_20221001_20260507,BNB/USDT:USDT,2025-01-17 09:00:00+00:00,2025-01-18 03:00:00+00:00,-0.02106131029967634,False,0.02008323503080006,719.0,False,False,True,False,0.6951846713159908,0.1541015722698394
full_20221001_20260507,BNB/USDT:USDT,2025-04-25 07:00:00+00:00,2025-04-28 08:00:00+00:00,-0.0059150454391635994,False,0.021733748230306316,605.61,True,True,False,False,0.1126803415927609,0.5263457567017464
full_20221001_20260507,BNB/USDT:USDT,2025-04-29 07:00:00+00:00,2025-04-29 21:00:00+00:00,-0.016703694979548794,False,0.015778437580171424,607.85,True,True,False,False,0.12475911680137187,0.9855970227308957
full_20221001_20260507,BNB/USDT:USDT,2025-05-11 00:00:00+00:00,2025-05-12 01:00:00+00:00,-0.025870396574690795,False,0.02487111859293079,658.77,False,False,False,False,0.27850245836953924,0.550950515470174
full_20221001_20260507,BNB/USDT:USDT,2025-05-15 17:00:00+00:00,2025-05-17 00:00:00+00:00,-0.029806057141049343,False,0.02884806193614918,656.69,True,True,False,False,0.0666723529033731,0.7659445896536496
full_20221001_20260507,XRP/USDT:USDT,2025-05-22 09:00:00+00:00,2025-05-23 11:00:00+00:00,-0.029534391086811822,False,0.02827133465051529,2.423,True,True,False,False,0.30660546094249613,0.43883814788927
full_20221001_20260507,BNB/USDT:USDT,2025-05-25 23:00:00+00:00,2025-05-30 01:00:00+00:00,-0.005960091440367317,False,0.017204984672658456,668.92,False,False,False,False,0.42121659965388464,0.22880901709593549
full_20221001_20260507,XRP/USDT:USDT,2025-07-06 07:00:00+00:00,2025-07-07 13:00:00+00:00,0.05000250691416845,True,0.014851395413680865,2.2256,False,False,True,True,1.7501823653617046,0.21424646196668692
full_20221001_20260507,XRP/USDT:USDT,2025-07-08 18:00:00+00:00,2025-07-09 19:00:00+00:00,0.05000944450838358,True,0.024676308154726895,2.3042,True,True,False,False,0.4879110770078323,0.2369352352376172
full_20221001_20260507,XRP/USDT:USDT,2025-07-10 17:00:00+00:00,2025-07-11 08:00:00+00:00,0.050013792399196844,True,0.02748795737660271,2.4613,False,False,True,True,1.8284663930069152,0.025007183170650225
full_20221001_20260507,XRP/USDT:USDT,2025-07-13 13:00:00+00:00,2025-07-14 05:00:00+00:00,0.05000666542547405,True,0.037113971388384036,2.818,False,False,True,False,0.6972400821026854,0.5797599038853859
full_20221001_20260507,DOGE/USDT:USDT,2025-07-16 15:00:00+00:00,2025-07-16 21:00:00+00:00,0.05001332191513502,True,0.04261165334344922,0.20308,False,False,True,True,1.97850052781424,0.3986960877249453
full_20221001_20260507,BNB/USDT:USDT,2025-07-16 15:00:00+00:00,2025-07-18 04:00:00+00:00,0.04999372962921474,True,0.0271786899148363,696.21,False,False,True,True,1.0648654490626988,0.35704619622475575
full_20221001_20260507,BNB/USDT:USDT,2025-07-20 17:00:00+00:00,2025-07-23 00:00:00+00:00,0.05000336691489853,True,0.02215162476465028,752.27,True,True,False,False,0.5605056945638087,0.610700234375495
full_20221001_20260507,XRP/USDT:USDT,2025-07-20 09:00:00+00:00,2025-07-23 10:00:00+00:00,-0.016479303681793157,False,0.036370015430328424,3.4597,False,False,False,False,0.47057375437836957,0.17754535640986602
full_20221001_20260507,BNB/USDT:USDT,2025-08-08 14:00:00+00:00,2025-08-12 20:00:00+00:00,0.04999419212902201,True,0.01694045463228095,792.16,True,True,False,False,0.395677298916443,0.8687050472451111
full_20221001_20260507,XRP/USDT:USDT,2025-09-13 09:00:00+00:00,2025-09-14 04:00:00+00:00,-0.022208800777582163,False,0.02106002675007937,3.1372,False,True,True,False,0.6436060496601281,0.8264143407607708
full_20221001_20260507,BNB/USDT:USDT,2025-09-13 10:00:00+00:00,2025-09-15 08:00:00+00:00,-0.019678410085711962,False,0.01848232401281169,930.6,False,True,False,False,0.30242766760959017,0.967768536350686
full_20221001_20260507,BNB/USDT:USDT,2025-09-16 05:00:00+00:00,2025-09-17 20:00:00+00:00,0.04999745532064311,True,0.013091837620244623,923.34,False,False,True,True,2.645053883315858,0.18179064490143737
full_20221001_20260507,ZEC/USDT:USDT,2025-09-21 02:00:00+00:00,2025-09-22 02:00:00+00:00,-0.03304972395086164,False,0.03194142097997965,50.83,False,False,True,False,0.5756821660439241,0.4531965988005305
full_20221001_20260507,BNB/USDT:USDT,2025-10-02 02:00:00+00:00,2025-10-02 21:00:00+00:00,0.05000426168764519,True,0.02004860433924033,1032.7,True,True,False,True,1.3744054914414918,0.3958518969743909
full_20221001_20260507,BNB/USDT:USDT,2025-10-05 03:00:00+00:00,2025-10-06 06:00:00+00:00,0.05000302595161927,True,0.023905311439684246,1159.47,False,False,True,False,0.9425506799218034,0.3371901364480019
full_20221001_20260507,DOGE/USDT:USDT,2025-10-05 03:00:00+00:00,2025-10-06 17:00:00+00:00,0.050018824289287375,True,0.040379789532508585,0.25255,False,False,True,False,0.8291311633672596,0.2123502397448199
full_20221001_20260507,XRP/USDT:USDT,2025-10-06 16:00:00+00:00,2025-10-07 08:00:00+00:00,-0.025399924466583845,False,0.02418532370622862,3.0208,False,True,False,False,0.2756674593527051,0.7683206911662002
full_20221001_20260507,BNB/USDT:USDT,2026-01-17 16:00:00+00:00,2026-01-18 23:00:00+00:00,-0.022792295886257606,False,0.021768748591014603,945.14,False,False,False,False,0.036999025338262784,0.6015945418637146
full_20221001_20260507,XRP/USDT:USDT,2026-04-17 14:00:00+00:00,2026-04-19 06:00:00+00:00,-0.046547450217740746,False,0.04541558661932931,1.4606,False,False,False,False,0.3362451396636938,0.2725511264234322
full_20221001_20260507,ZEC/USDT:USDT,2026-05-01 16:00:00+00:00,2026-05-01 17:00:00+00:00,0.05000681775681425,True,0.0458173386882075,353.42,False,False,True,True,1.681054215794258,0.08129240884750127
full_20221001_20260507,ZEC/USDT:USDT,2026-05-02 21:00:00+00:00,2026-05-03 21:00:00+00:00,0.049988977297288656,True,0.04856268421157271,384.91,False,True,False,False,0.3145344022222833,0.5369324643996548
