feature,direction,quantile,threshold,kept,removed,kept_delta_profit_abs,removed_positive_profit,removed_negative_profit,estimated_improvement,positive_profit_kill_pct,negative_loss_removed_pct
ret_3h,keep_ge,0.8,-0.010170990566037763,14,52,34.66059116999999,224.0272109,-93.63492454000001,-130.39228636,80.67003238851814,83.11636682535298
distance_ema50_4h,keep_le,0.3,0.027922313679998575,20,46,34.48707984000001,218.22849369,-87.66269600000001,-130.56579768999998,78.58197039255211,77.81503358314559
add_profit,keep_le,0.3,0.005576459596494388,20,46,32.940584799999996,230.20827995000002,-98.09598722000001,-132.11229272999998,82.89577558487362,87.07629229080658
body_ratio,keep_ge,0.6,0.7979797979798018,27,39,30.692870360000004,199.54485563,-65.18484846000001,-134.36000717,71.85417299070733,57.86225388307879
body_ratio,keep_ge,0.4,0.7120000000000009,40,26,30.19216184,177.18433667000002,-42.32362098,-134.86071568999998,63.802366330790235,37.569161549845845
stop_distance_from_add,keep_le,0.2,0.06703464303871015,14,52,30.024367390000005,236.86671086,-101.83820072,-135.02851013999998,85.29341217111033,90.398121101294
add_delay_h,keep_le,0.4,0.4166666666666667,34,32,29.631449380000006,186.09051026999998,-50.66908212,-135.42142815,67.0093933248926,44.97712831915369
add_delay_h,keep_le,0.3,0.3333333333333333,26,40,29.373115910000003,193.63877610999998,-57.959014489999994,-135.67976162,69.72745086506235,51.44814002737688
ret_24h,keep_ge,0.7,-0.009563581953328903,20,46,27.77559491000001,191.94761347000002,-54.67033085,-137.27728261999997,69.11847955128768,48.5288934200065
add_profit,keep_ge,0.8,0.008459026403776259,14,52,27.645227060000003,227.64528402000002,-90.23763355,-137.40765046999996,81.972865533661,80.10071336565822
add_profit,keep_le,0.2,0.0052624093301094094,14,52,27.14236888,239.74870937000003,-101.83820072,-137.91050865,86.33119196674927,90.398121101294
ret_3h,keep_le,0.6,-0.015509601181683985,40,26,25.044706160000004,162.28764974,-22.27947837,-140.00817137,58.438213412504204,19.776694497012908
distance_ema50_4h,keep_le,0.2,0.02205987428312414,14,52,21.901166870000004,230.84617916000002,-87.6944685,-143.15171065999996,83.12547692215573,77.84323689273259
ret_6h,keep_le,0.6,-0.014995313964386137,40,26,20.578960240000015,170.25426834,-25.78035105,-144.47391728999997,61.306915736240406,22.884293710759618
add_delay_h,keep_le,0.2,0.25,18,48,19.48380033000001,217.85512946999998,-72.28605227,-145.56907719999998,78.44752554721785,64.16573801224487
ret_6h,keep_le,0.4,-0.020077438110287282,27,39,18.364628960000005,230.99400580999998,-84.30575723999999,-146.68824856999998,83.17870786939412,74.83519935187846
ret_6h,keep_le,0.3,-0.021378434900013288,20,46,17.304294290000005,234.5332068,-86.78462356,-147.74858324000002,84.453139923187,77.03560014652125
ema20_distance,keep_ge,0.8,0.021756834859660915,14,52,16.24042942,257.72499027,-108.91254215999999,-148.81244810999996,92.80427689514846,96.67776046730478
ema50_slope3_4h,keep_ge,0.7,-0.002868347248336345,20,46,15.767743549999999,226.38041725,-77.09528327,-149.28513398,81.51739924055694,68.4347200177048
ema50_slope3_4h,keep_ge,0.8,-0.0019137884916086145,14,52,15.390472670000001,234.88012059000002,-85.21771573000001,-149.66240485999995,84.5780602244437,75.64471222067941
atr_pct,keep_ge,0.7,0.010802146653558758,20,46,13.828832149999998,228.44927192,-77.22522654,-151.22404538,82.26237380219862,68.55006600157637
close_position,keep_le,0.4,0.12209302325582315,27,39,13.78246567,203.16045436000002,-51.89004250000001,-151.27041186,73.15611513193758,46.06093109169665
