symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h,first_event_24h,bars_to_first_event_24h,hit_tp1_before_stop_24h,hit_tp2_before_stop_24h,hit_stop_before_tp1_24h,max_r_24h,min_r_24h,first_event_72h,bars_to_first_event_72h,hit_tp1_before_stop_72h,hit_tp2_before_stop_72h,hit_stop_before_tp1_72h,max_r_72h,min_r_72h,year,month
TRX,TRX/USDT:USDT,2023-04-26 12:00:00+00:00,long_pullback_restart,long,0.06702,0.06567852695755384,0.020016010779560632,True,False,0.008206505520740209,5.432852849847714,0.8315789473684266,0.8842105263157897,-0.007012831990450552,-0.024022679797075508,-0.001641301104147952,0.0008952551477172666,-0.04968666069829897,stop,7.0,False,False,True,0.044726951717639817,-2.4823458203288236,stop,7.0,False,False,True,0.3354521378822779,-2.4823458203288236,2023,2023-04
BTC,BTC/USDT:USDT,2023-04-27 18:00:00+00:00,long_pullback_restart,long,29758.8,28538.531417187136,0.04100530205562265,True,False,0.03317674099762085,2.0943645185321165,0.6979334603546845,0.7959841711856942,-0.007365888409478938,-0.017877064935414078,-0.006364503945051503,0.003178891621974156,-0.02986679570412787,none,,False,False,False,0.0775239167281829,-0.7283642408880266,none,,False,False,False,0.15668681689670494,-0.7283642408880266,2023,2023-04
ETH,ETH/USDT:USDT,2023-04-29 13:00:00+00:00,long_pullback_restart,long,1911.7,1883.3211285162504,0.014844835216691773,True,False,0.00977663859392167,2.8227226181529557,0.7610153256704989,0.774904214559386,-0.004938013286603593,-0.0038342836219072973,-0.04388763927394468,0.00291363707694714,-0.016006695611236132,stop,4.0,False,False,True,0.19627278002190593,-1.07826697821731,stop,4.0,False,False,True,0.9972207674362643,-3.7499729353557414,2023,2023-04
TRX,TRX/USDT:USDT,2023-04-29 21:00:00+00:00,long_pullback_restart,long,0.0681,0.06678064335207212,0.01937381274490267,True,False,0.009104258443465428,3.029859248716528,0.8333333333333168,0.8571428571428477,-0.007782672540381674,-0.007195301027900003,0.013509544787077887,0.0011747430249633428,-0.014537444933920618,none,,False,False,False,0.06063561367250878,-0.7503657191971896,stop,28.0,False,False,True,1.3491424042131441,-1.0535437875596916,2023,2023-04
NEAR,NEAR/USDT:USDT,2023-05-01 14:00:00+00:00,short_compression_breakdown,short,1.874,1.9188362662807021,0.023925435582018158,False,True,0.016542155816435505,1.8063230859497592,0.517241379310343,0.1034482758620732,0.037652270210409844,0.022925764192139653,0.021810250817884347,0.0411111111111111,-0.0010660980810233145,tp1,2.0,True,False,False,1.6504496502165344,-0.04460674730314463,tp1,2.0,True,True,False,2.14112387055118,-1.226685550836611,2023,2023-05
NEAR,NEAR/USDT:USDT,2023-05-01 14:00:00+00:00,short_pullback_restart,short,1.874,1.9188362662807021,0.023925435582018158,False,True,0.016542155816435505,1.8063230859497592,0.517241379310343,0.1034482758620732,0.037652270210409844,0.022925764192139653,0.021810250817884347,0.0411111111111111,-0.0010660980810233145,tp1,2.0,True,False,False,1.6504496502165344,-0.04460674730314463,tp1,2.0,True,True,False,2.14112387055118,-1.226685550836611,2023,2023-05
LINK,LINK/USDT:USDT,2023-05-01 19:00:00+00:00,short_compression_breakdown,short,6.813,7.027085197404316,0.03142304379925376,False,True,0.02480551886100097,2.213556834492292,0.6489361702127633,0.30851063829787045,-0.006271878646441076,-0.025740025740025874,-0.02420509882555144,0.0027965852222548993,-0.028241335044929428,none,,False,False,False,0.08874971380724288,-0.9248654386228424,stop,47.0,False,False,True,0.08874971380724288,-1.620850036374374,2023,2023-05
LINK,LINK/USDT:USDT,2023-05-01 19:00:00+00:00,short_pullback_restart,short,6.813,7.027085197404316,0.03142304379925376,False,True,0.02480551886100097,2.213556834492292,0.6489361702127633,0.30851063829787045,-0.006271878646441076,-0.025740025740025874,-0.02420509882555144,0.0027965852222548993,-0.028241335044929428,none,,False,False,False,0.08874971380724288,-0.9248654386228424,stop,47.0,False,False,True,0.08874971380724288,-1.620850036374374,2023,2023-05
DOGE,DOGE/USDT:USDT,2023-05-03 11:00:00+00:00,short_pullback_restart,short,0.07767,0.07889985058390699,0.01583430647491931,False,True,0.011201235998454948,1.5552343982019863,0.507042253521124,0.0985915492957752,-0.0025683832027737497,-0.015838824125696926,-0.004486029223276122,0.008308451252758697,-0.0375464684014869,stop,10.0,False,False,True,0.5203884182148802,-2.46371391748606,stop,10.0,False,False,True,0.7968447653915404,-3.097937302185446,2023,2023-05
DOGE,DOGE/USDT:USDT,2023-05-03 12:00:00+00:00,short_pullback_restart,short,0.07723,0.07882428982791363,0.020643400594505236,False,True,0.014761103198239055,3.150983188213379,0.5432098765432185,0.24691358024690194,-0.01253036696074683,-0.018304309139443364,-0.006432522835456034,0.0016861219195849486,-0.04299876084262699,stop,9.0,False,False,True,0.08154100824322212,-2.17651768156923,stop,9.0,False,False,True,0.3387088034718678,-2.6657637310285978,2023,2023-05
