symbol,pair,date,entry_tag,side,close,initial_stop,risk_pct,trend_up_4h,trend_down_4h,compression_width_pct,volume_ratio,body_pct_of_range,close_position,forward_ret_6h,forward_ret_24h,forward_ret_72h,mfe_24h,mae_24h
SUI,SUI/USDT:USDT,2026-02-22 12:00:00+00:00,short_pullback_restart,short,0.926,0.950178174617617,0.026110339759845523,False,True,0.021058315334773176,2.064391507923742,0.7983193277310945,0.17647058823529466,0.0056472632493485,0.016577011746624182,0.021511307225593024,0.0761185357350378,-0.002799913848804625
TAO,TAO/USDT:USDT,2026-02-22 12:00:00+00:00,short_compression_breakdown,short,175.05,182.3628121415338,0.041775562076742545,False,True,0.028620394173093512,2.3495287383664865,0.8032786885245903,0.14207650273224337,0.008759292341381952,0.0072501294665976435,-0.01839286715639543,0.06084479728501324,-0.015743604160809554
TAO,TAO/USDT:USDT,2026-02-22 12:00:00+00:00,short_pullback_restart,short,175.05,182.3628121415338,0.041775562076742545,False,True,0.028620394173093512,2.3495287383664865,0.8032786885245903,0.14207650273224337,0.008759292341381952,0.0072501294665976435,-0.01839286715639543,0.06084479728501324,-0.015743604160809554
XRP,XRP/USDT:USDT,2026-02-22 12:00:00+00:00,short_pullback_restart,short,1.408,1.434576731490813,0.018875519524725277,False,True,0.012286931818181884,2.293964513490746,0.8622754491017995,0.11377245508982003,0.013460015835312644,-0.002974082991077709,0.006217394411491384,0.05944319036869827,-0.011721765985821642
LINK,LINK/USDT:USDT,2026-02-24 13:00:00+00:00,short_compression_breakdown,short,8.093,8.342414543102565,0.030818552218283134,False,True,0.027678240454713975,1.3942617685385748,0.5252525252525202,0.38383838383838564,-0.01616824702163877,-0.08913899831176142,-0.08377674629231291,0.0053416149068321594,-0.09847387768742344
LINK,LINK/USDT:USDT,2026-02-24 13:00:00+00:00,short_pullback_restart,short,8.093,8.342414543102565,0.030818552218283134,False,True,0.027678240454713975,1.3942617685385748,0.5252525252525202,0.38383838383838564,-0.01616824702163877,-0.08913899831176142,-0.08377674629231291,0.0053416149068321594,-0.09847387768742344
NEAR,NEAR/USDT:USDT,2026-02-24 13:00:00+00:00,short_compression_breakdown,short,0.964,0.9941838420498723,0.031311039470821936,False,True,0.028008298755186747,1.7040745507229147,0.5,0.14285714285714285,-0.012295081967213073,-0.099906629318394,-0.13309352517985618,0.013669821240799074,-0.11802378774016464
NEAR,NEAR/USDT:USDT,2026-02-24 13:00:00+00:00,short_pullback_restart,short,0.964,0.9941838420498723,0.031311039470821936,False,True,0.028008298755186747,1.7040745507229147,0.5,0.14285714285714285,-0.012295081967213073,-0.099906629318394,-0.13309352517985618,0.013669821240799074,-0.11802378774016464
XRP,XRP/USDT:USDT,2026-03-06 12:00:00+00:00,short_compression_breakdown,short,1.3882,1.416476414403299,0.02036912145461675,False,True,0.016784325025212415,1.8120967091750806,0.4833333333333167,0.3833333333333463,0.02269043760129663,0.018264505244627083,0.02525849335302799,0.03257958940791439,-0.00594343000358033
ZEC,ZEC/USDT:USDT,2026-03-06 12:00:00+00:00,short_compression_breakdown,short,221.24,230.2765513342673,0.04084501597481152,False,True,0.033357439884288534,1.792960531263067,0.6300940438871393,0.25705329153605483,0.051820861462394285,0.06069613577524202,0.06570327552986521,0.07832529122191367,-0.0025697669176322213
ZEC,ZEC/USDT:USDT,2026-03-06 12:00:00+00:00,short_pullback_restart,short,221.24,230.2765513342673,0.04084501597481152,False,True,0.033357439884288534,1.792960531263067,0.6300940438871393,0.25705329153605483,0.051820861462394285,0.06069613577524202,0.06570327552986521,0.07832529122191367,-0.0025697669176322213
XRP,XRP/USDT:USDT,2026-03-06 13:00:00+00:00,short_compression_breakdown,short,1.3715,1.416463813374492,0.03278440639773392,False,True,0.022092599343784176,3.2050250330999894,0.6498054474708219,0.027237354085600053,0.0067532848858546934,0.006975036710719307,0.0031451141018139506,0.020157691163344094,-0.0019647795080774966
LINK,LINK/USDT:USDT,2026-03-07 18:00:00+00:00,short_pullback_restart,short,8.708,8.83313240709355,0.014369821668988363,False,True,0.011139182361047259,2.1931183878185116,0.6704545454545299,0.31818181818182,0.00542662510102776,0.02003045566358197,-0.028233456087490283,0.024952919020715614,-0.0074090960902769565
BTC,BTC/USDT:USDT,2026-03-07 19:00:00+00:00,short_pullback_restart,short,67042.6,68290.61277292226,0.01861522036618894,False,True,0.012165399313272542,2.7081473128012172,0.7103157282118513,0.2800814782482224,-0.003325587998745272,-0.0038098634452219393,-0.04231971339271923,0.008038130751187866,-0.016561148630808153
ETH,ETH/USDT:USDT,2026-03-07 19:00:00+00:00,short_pullback_restart,short,1954.01,1996.605261399307,0.021798896320544416,False,True,0.015040864683394595,2.745601477885675,0.6951323654995697,0.3048676345004303,-0.007133965092350314,-0.0046811328443358,-0.0401947107827727,0.016199827340524164,-0.01264255721237173
LINK,LINK/USDT:USDT,2026-03-07 19:00:00+00:00,short_pullback_restart,short,8.655,8.833451520872584,0.020618315525428654,False,True,0.016175621028307403,2.3788099914000997,0.6883116883116994,0.25974025974025433,-0.004027617951668616,0.0018520662113670205,-0.03479424556707944,0.018714689265536544,-0.013450359056195182
SOL,SOL/USDT:USDT,2026-03-07 19:00:00+00:00,short_compression_breakdown,short,82.47,85.0049657974329,0.030738035618199388,False,True,0.024493755304959505,2.5834899507647804,0.7747747747747746,0.22522522522522534,-0.00554684673821304,0.0003639010189229186,-0.04071187623589623,0.016767352977438144,-0.019031759248245406
SOL,SOL/USDT:USDT,2026-03-07 19:00:00+00:00,short_pullback_restart,short,82.47,85.0049657974329,0.030738035618199388,False,True,0.024493755304959505,2.5834899507647804,0.7747747747747746,0.22522522522522534,-0.00554684673821304,0.0003639010189229186,-0.04071187623589623,0.016767352977438144,-0.019031759248245406
SUI,SUI/USDT:USDT,2026-03-07 19:00:00+00:00,short_pullback_restart,short,0.8905,0.9152602546331415,0.027804890098979875,False,True,0.022459292532285253,1.7863499502527083,0.7043478260869521,0.28695652173912617,-0.0003367759317468577,-0.0010096477451200236,-0.07316819317235645,0.01981218506642235,-0.021751071075469697
LINK,LINK/USDT:USDT,2026-03-08 02:00:00+00:00,short_pullback_restart,short,8.593,8.817472394181577,0.02612270384982855,False,True,0.019783544745723254,1.8705611986251194,0.8275862068965549,0.16379310344827744,-0.004518072289156572,-0.0013945380592679246,-0.041815343443354136,0.024683997138087443,-0.0205174968653824
SUI,SUI/USDT:USDT,2026-03-08 02:00:00+00:00,short_pullback_restart,short,0.8786,0.9077954980972078,0.033229567604379444,False,True,0.02287730480309584,3.282396130862997,0.7530864197530861,0.24074074074074175,-0.018214325622974648,-0.012254075323215208,-0.07574163686092994,0.016427579824155547,-0.03482368449961548
NEAR,NEAR/USDT:USDT,2026-03-15 01:00:00+00:00,long_pullback_restart,long,1.344,1.2958064466484098,0.03585829862469513,True,False,0.021577380952380886,2.215222667331268,0.7741935483870995,0.9032258064516161,-0.00520833333333337,0.015625,0.078125,0.024553571428571397,-0.014880952380952439
NEAR,NEAR/USDT:USDT,2026-03-16 01:00:00+00:00,long_pullback_restart,long,1.365,1.320845967691764,0.03234727641629003,True,False,0.027838827838827865,1.247723094859411,0.5789473684210502,0.7894736842105251,0.02051282051282044,0.07912087912087928,0.00879120879120876,0.10549450549450534,-0.00805860805860803
TRX,TRX/USDT:USDT,2026-03-17 07:00:00+00:00,long_pullback_restart,long,0.2987,0.29473799130832556,0.013264173725056767,True,False,0.007800468697689985,2.2880461636269516,0.9069767441860502,0.9127906976744282,0.012387010378305918,0.009943086709072624,0.01811181787746885,0.03548711081352529,0.0
ADA,ADA/USDT:USDT,2026-03-20 13:00:00+00:00,short_pullback_restart,short,0.2658,0.2733992661893149,0.028590166250244343,False,True,0.0237020316027087,1.888333650320144,0.38709677419356053,0.12903225806450228,0.007199696854869098,0.006056018168054456,0.009878419452887588,0.01644359464627132,-0.0067264573991032695
ADA,ADA/USDT:USDT,2026-03-21 14:00:00+00:00,short_pullback_restart,short,0.2631,0.267430586196289,0.016459848712615015,False,True,0.013302926643861662,2.541986870866932,0.4,0.07999999999999112,-0.010530274539300555,0.030148786217697676,0.0076599004212944966,0.04404761904761911,-0.011645379413974477
ZEC,ZEC/USDT:USDT,2026-03-21 22:00:00+00:00,short_pullback_restart,short,228.36,235.7501175522068,0.03236169886235238,False,True,0.020187423366614176,2.0337301462632738,0.6649874055415584,0.33501259445844156,0.034051802209744686,0.0457480423135046,-0.046234807668211975,0.06980230488147665,-4.378858869369395e-05
BNB,BNB/USDT:USDT,2026-03-21 23:00:00+00:00,short_pullback_restart,short,630.29,646.7412352361108,0.02610105703106641,False,True,0.009233844738136493,9.79026523408751,0.7998652291105168,0.20013477088948314,-0.004894298931148344,0.006724380270891839,-0.01256442794253576,0.014045305360705251,-0.01132531254411695
LINK,LINK/USDT:USDT,2026-03-21 23:00:00+00:00,short_pullback_restart,short,8.819,9.149108753526344,0.03743154025698409,False,True,0.011565937181086325,8.220561475570433,0.8057324840764277,0.19426751592357233,-0.007986501687289094,0.015428900402993717,-0.046182132814189925,0.02917493289765427,-0.016614629794825975
SUI,SUI/USDT:USDT,2026-03-21 23:00:00+00:00,short_pullback_restart,short,0.9323,0.9690559038101973,0.039424974589936,False,True,0.01147699238442554,8.852157863615878,0.7746478873239433,0.22253521126760628,-0.005016008537886862,0.030393457117595002,-0.02089897080445291,0.04412588195766598,-0.014690340308602834
XRP,XRP/USDT:USDT,2026-03-21 23:00:00+00:00,short_pullback_restart,short,1.4081,1.447442905969009,0.027940420402676754,False,True,0.00923229884241169,7.910666208894783,0.7587939698492453,0.22613065326632875,-0.002055279943302679,0.017339787587601796,-0.004946646880079175,0.027285328664186093,-0.01234481307427937
LINK,LINK/USDT:USDT,2026-03-22 19:00:00+00:00,short_compression_breakdown,short,8.703,8.911512567949885,0.023958700212557183,False,True,0.021486843617143446,1.3347910343815828,0.7160493827160516,0.2592592592592487,0.0021879318286504024,-0.04593290944968209,-0.06879948641129907,0.015637764033142654,-0.06278268360973516
LINK,LINK/USDT:USDT,2026-03-22 19:00:00+00:00,short_pullback_restart,short,8.703,8.911512567949885,0.023958700212557183,False,True,0.021486843617143446,1.3347910343815828,0.7160493827160516,0.2592592592592487,0.0021879318286504024,-0.04593290944968209,-0.06879948641129907,0.015637764033142654,-0.06278268360973516
XRP,XRP/USDT:USDT,2026-03-24 16:00:00+00:00,short_compression_breakdown,short,1.39,1.4353150551743703,0.03260075911825209,False,True,0.02748201438848922,1.563647866176043,0.6688741721854253,0.12582781456953632,-0.0144639818491209,-0.017528979361040586,0.04542719614921786,0.00535223491971637,-0.032841636515446804
XRP,XRP/USDT:USDT,2026-03-24 16:00:00+00:00,short_pullback_restart,short,1.39,1.4353150551743703,0.03260075911825209,False,True,0.02748201438848922,1.563647866176043,0.6688741721854253,0.12582781456953632,-0.0144639818491209,-0.017528979361040586,0.04542719614921786,0.00535223491971637,-0.032841636515446804
