"open_time","open","high","low","close","volume","close_time"
"2025/12/9 6:00:00","408.2","422","406.62","416.94","256632.126","2025/12/9 6:59:59"
"2025/12/9 7:00:00","416.87","421.65","412.88","418.29","172097.241","2025/12/9 7:59:59"
"2025/12/9 8:00:00","418.3","425.93","409.85","411.48","240976.526","2025/12/9 8:59:59"
"2025/12/9 9:00:00","411.48","413.63","403.09","407.38","195033.624","2025/12/9 9:59:59"
"2025/12/9 10:00:00","407.38","412.78","406.23","410.84","134914.342","2025/12/9 10:59:59"
"2025/12/9 11:00:00","410.86","419.49","407.47","415.64","129498.418","2025/12/9 11:59:59"
"2025/12/9 12:00:00","415.63","437.66","414.3","434.26","456030.134","2025/12/9 12:59:59"
"2025/12/9 13:00:00","434.26","438.93","426.2","427.08","253544.109","2025/12/9 13:59:59"
"2025/12/9 14:00:00","427.08","428.96","420.88","425.41","192904.856","2025/12/9 14:59:59"
"2025/12/9 15:00:00","425.39","446","424.51","443.12","397401.701","2025/12/9 15:59:59"
"2025/12/9 16:00:00","443.12","449.5","435","435.74","344388.994","2025/12/9 16:59:59"
"2025/12/9 17:00:00","435.75","449.99","435.13","440","225364.438","2025/12/9 17:59:59"
"2025/12/9 18:00:00","440","448.24","439.06","445.41","152802.697","2025/12/9 18:59:59"
"2025/12/9 19:00:00","445.43","446.51","432.07","432.88","165373.036","2025/12/9 19:59:59"
"2025/12/9 20:00:00","432.87","433.44","425.02","427.23","166176.675","2025/12/9 20:59:59"
"2025/12/9 21:00:00","427.24","430.55","421.1","424.69","116039.755","2025/12/9 21:59:59"
"2025/12/9 22:00:00","424.69","437.47","424.03","433.16","149097.825","2025/12/9 22:59:59"
"2025/12/9 23:00:00","433.13","435.05","427.78","432.8","99581.08","2025/12/9 23:59:59"
"2025/12/10 0:00:00","432.8","441.96","431.3","437.1","124020.032","2025/12/10 0:59:59"
"2025/12/10 1:00:00","437.1","444.92","433.83","440.59","134034.339","2025/12/10 1:59:59"
"2025/12/10 2:00:00","440.59","443.75","437.4","440.75","97539.931","2025/12/10 2:59:59"
