pair,open_date,enter_tag,bucket,base_profit_abs,a1_profit_abs,delta_abs,base_profit_pct,a1_profit_pct,base_exit,a1_exit,base_stake,a1_stake,a1_partial_exits
BNB/USDT:USDT,2024-08-03 16:00:00+00:00,short_pullback_restart,profit_to_more_profit,31.37897005,34.53755669,3.158586640000003,9.99930482952648,11.806252204027752,roi,trailing_stop_loss,313.9685,74.501,2
DOGE/USDT:USDT,2024-08-03 16:00:00+00:00,short_pullback_restart,profit_to_less_profit,21.33882429,14.97797356,-6.360850730000001,10.001979379379138,7.498119795834615,roi,trailing_stop_loss,213.45274,99.92816,1
NEAR/USDT:USDT,2024-08-19 00:00:00+00:00,short_pullback_restart,loss_to_less_loss,-8.92058454,-8.38534946,0.5352350799999996,-4.580470651029903,-4.580470646878427,stop_loss,stop_loss,194.85,183.159,0
ADA/USDT:USDT,2024-08-30 12:00:00+00:00,short_pullback_restart,profit_to_less_profit,27.01968567,19.09422551,-7.92546016,10.012449178352549,7.494657639822012,roi,trailing_stop_loss,269.9959,127.4493,1
ZEC/USDT:USDT,2024-08-31 16:00:00+00:00,short_pullback_restart,profit_to_less_profit,40.96947455,30.04589387,-10.92358068,9.994976547575352,7.7668389973877465,roi,trailing_stop_loss,410.10571,193.52097,1
BNB/USDT:USDT,2024-08-31 17:00:00+00:00,short_pullback_restart,profit_to_loss,40.50475836,-0.01505543,-40.51981378999999,9.999324134971983,-0.003923185656970638,roi,trailing_stop_loss,405.2776,383.9472,0
ETH/USDT:USDT,2024-09-03 09:00:00+00:00,short_pullback_restart,profit_to_less_profit,32.46530628,22.68290909,-9.782397190000001,9.999922126706883,7.50643706528848,roi,trailing_stop_loss,324.818,152.4146,1
XRP/USDT:USDT,2024-09-29 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-10.02684639,-0.19773192,9.829114469999999,-2.184348117716602,-0.0479790472161655,stop_loss,trailing_stop_loss,458.80212,411.91544,0
ZEC/USDT:USDT,2024-09-30 16:00:00+00:00,short_compression_breakdown,profit_to_less_profit,23.10243229,0.07847313,-23.02395916,9.995844195638542,0.03782175208920004,roi,trailing_stop_loss,231.23599,207.58527,0
ADA/USDT:USDT,2024-10-09 13:00:00+00:00,short_compression_breakdown,loss_to_profit,-9.99944048,0.10007546,10.09951594,-2.5505622515518827,0.028710864610844926,stop_loss,trailing_stop_loss,392.2446,348.7374,0
LINK/USDT:USDT,2024-10-09 21:00:00+00:00,short_compression_breakdown,loss_to_less_loss,-10.03738441,-8.92485632,1.1125280899999996,-3.9410126261955702,-3.941012625303386,trailing_stop_loss,trailing_stop_loss,254.8179,226.57428,0
XRP/USDT:USDT,2024-10-09 21:00:00+00:00,short_pullback_restart,loss_to_less_loss,-10.21273561,-9.07784473,1.1348908799999986,-2.4559802544322085,-2.455980256012889,stop_loss,stop_loss,416.03936,369.80696,0
LINK/USDT:USDT,2024-10-13 15:00:00+00:00,short_pullback_restart,loss_to_less_loss,-9.89117898,-8.85912146,1.0320575199999986,-3.5140969169244065,-3.5140969158670385,stop_loss,stop_loss,281.61224,252.22848,0
SOL/USDT:USDT,2024-10-21 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-9.50691381,-0.07947336,9.42744045,-2.1177775102734926,-0.019769054667505576,stop_loss,trailing_stop_loss,448.6856,401.808,0
XRP/USDT:USDT,2024-10-23 08:00:00+00:00,short_compression_breakdown,profit_to_less_profit,4.45914093,0.1368566,-4.3222843300000005,0.9999115184084726,0.034010983296203556,stale_flat_120h,trailing_stop_loss,446.17664,402.59072,0
BTC/USDT:USDT,2024-10-29 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-3.6398606,-0.32275572,3.31710488,-0.8669447099605984,-0.09224903747034402,swing_exit_long_1d,trailing_stop_loss,419.6394,349.6995,0
DOGE/USDT:USDT,2024-10-29 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,44.7854023,30.146365239999998,-14.639037060000003,10.000899883874778,7.484985733980349,roi,trailing_stop_loss,447.58993,201.27827,1
NEAR/USDT:USDT,2024-11-02 13:00:00+00:00,short_compression_breakdown,loss_to_profit,-1.97538486,0.04522736,2.02061222,-0.6819782769231406,0.017478594987985634,stale_loss_72h,trailing_stop_loss,289.8,258.888,0
TAO/USDT:USDT,2024-11-02 13:00:00+00:00,short_pullback_restart,profit_to_less_profit,26.98351456,18.10706765,-8.876446909999999,10.000776837584258,7.515247231024974,roi,trailing_stop_loss,269.94916,120.52914,1
XRP/USDT:USDT,2024-11-03 03:00:00+00:00,short_pullback_restart,loss_to_less_loss,-10.2416631,-9.15561141,1.0860516899999997,-2.446307479694204,-2.4463074790796684,stop_loss,stop_loss,418.86748,374.44972,0
BTC/USDT:USDT,2024-11-22 00:00:00+00:00,long_1d_center_compression,same,-8.59833651,-8.59833651,0.0,-2.184181931875102,-2.184181931875102,stop_loss,stop_loss,393.4672,393.4672,0
XRP/USDT:USDT,2024-11-23 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,46.72296763,20.29041847,-26.43254916,9.998228740640304,4.874106496571957,roi,trailing_stop_loss,467.07891,416.08197,0
BNB/USDT:USDT,2024-11-24 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-10.35829685,-0.20770461,10.15059224,-2.148680462334518,-0.04981743507325784,stop_loss,trailing_stop_loss,481.8362,416.7232,0
XRP/USDT:USDT,2024-11-30 00:00:00+00:00,long_1d_center_compression,loss_to_less_loss,-10.04927557,-0.02620753,10.02306804,-2.1074695138073354,-0.006236429824957444,stop_loss,trailing_stop_loss,476.60255,420.02289,0
ADA/USDT:USDT,2024-12-03 00:00:00+00:00,long_1d_center_compression,profit_to_less_profit,47.32611587,20.40033665,-26.925779220000003,10.000208162129635,4.854143771934053,roi,trailing_stop_loss,473.0148,420.0564,0
SOL/USDT:USDT,2024-12-18 20:00:00+00:00,short_compression_breakdown,profit_to_less_profit,27.90995234,0.00065656,-27.90929578,10.000227157106393,0.0002676955382295478,roi,trailing_stop_loss,279.2328,245.3864,0
NEAR/USDT:USDT,2024-12-30 14:00:00+00:00,short_pullback_restart,loss_to_profit,-10.10359501,0.06513573,10.168730739999999,-4.656067899546,0.0348842501095098,trailing_stop_loss,trailing_stop_loss,217.107,186.813,0
BTC/USDT:USDT,2025-01-12 10:00:00+00:00,short_pullback_restart,loss_to_less_loss,-6.4322755,-5.1458204,1.2864551000000004,-1.371309387501758,-1.371309387501758,trailing_stop_loss,trailing_stop_loss,469.2955,375.4364,0
NEAR/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,loss_to_less_loss,-10.658898,-9.195912,1.4629860000000008,-4.270885442721361,-4.270885442721361,stop_loss,stop_loss,249.696,215.424,0
TAO/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,loss_to_less_loss,-10.79290917,-9.30005818,1.492850989999999,-4.995236815556717,-4.995236814482479,stop_loss,stop_loss,216.1721,186.27166,0
SUI/USDT:USDT,2025-01-26 21:00:00+00:00,short_pullback_restart,profit_to_less_profit,39.29364128,25.57075843,-13.722882850000001,10.000595744597126,7.549587371116741,roi,trailing_stop_loss,393.10956,169.64064,1
NEAR/USDT:USDT,2025-01-26 22:00:00+00:00,short_pullback_restart,profit_to_less_profit,30.86964998,20.59220651,-10.277443469999998,10.008974355021204,7.789463486185571,roi,trailing_stop_loss,308.574,132.246,1
