pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_exit_orders,variant_exit_orders
SOL/USDT:USDT,2025-10-19 09:00:00+00:00,short_pullback_restart,-17.1173457,-0.02291505922452752,-14.5876887,-0.022915059224527516,2.529657000000002,loss_to_less_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2025-10-20 17:00:00+00:00,short_pullback_restart,-16.586129,-0.04061314686071559,-0.02700916,-7.751330055168363e-05,16.55911984,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
SOL/USDT:USDT,2025-12-21 02:00:00+00:00,short_pullback_restart,-12.75636872,-0.014726264835935055,-10.08728724,-0.014726264833322854,2.669081479999999,loss_to_less_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2026-01-27 14:00:00+00:00,short_pullback_restart,-16.12792217,-0.01853584235734629,-12.88865067,-0.018535842352545667,3.239271500000001,loss_to_less_loss,stop_loss,stop_loss,1,1
SOL/USDT:USDT,2026-02-03 15:00:00+00:00,short_pullback_restart,46.63874363,0.10000200309579592,-0.02771872,-7.498078014145407e-05,-46.66646235,profit_to_loss,roi,trailing_stop_loss,1,1
SOL/USDT:USDT,2026-03-07 20:00:00+00:00,short_compression_breakdown,-22.57120378,-0.032367232367775195,-0.2014743,-0.0003831070850952011,22.36972948,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2023-07-30 20:00:00+00:00,short_pullback_restart,-7.43880996,-0.029803609854194613,-0.45279074,-0.0018114209405415607,6.98601922,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2023-09-11 09:00:00+00:00,short_compression_breakdown,-0.32162477,-0.0021336766387102506,-0.01127785,-7.036395308746e-05,0.31034692,loss_to_less_loss,stale_loss_72h,trailing_stop_loss,1,1
SUI/USDT:USDT,2023-09-17 17:00:00+00:00,short_compression_breakdown,-6.11039652,-0.02490075159675305,0.03629423,0.00013907228753363233,6.14669075,loss_to_profit,trailing_stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2023-10-09 09:00:00+00:00,short_pullback_restart,28.6092972,0.1000025469292477,-1.020663,-0.0033338347495426037,-29.6299602,profit_to_loss,roi,trailing_stop_loss,1,1
SUI/USDT:USDT,2024-03-28 00:00:00+00:00,long_1d_center_compression,-8.79865966,-0.021462918360013607,-0.79149692,-0.001942550522715702,8.00716274,loss_to_less_loss,stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2024-05-05 02:00:00+00:00,short_compression_breakdown,-7.35181744,-0.030794884447804077,-7.38142207,-0.0307948844311723,-0.029604630000000576,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2024-06-02 10:00:00+00:00,short_pullback_restart,-8.93211647,-0.022477374723826805,-9.07526665,-0.022477374736409136,-0.14315017999999924,loss_to_more_loss,stop_loss,stop_loss,1,1
SUI/USDT:USDT,2024-06-29 23:00:00+00:00,short_pullback_restart,-8.51384624,-0.029192905288584554,-8.4864338,-0.029192905280277733,0.027412439999999094,loss_to_less_loss,stop_loss,stop_loss,1,1
SUI/USDT:USDT,2024-07-30 15:00:00+00:00,short_compression_breakdown,22.89818667,0.100043889389751,0.01608913,6.969889471645481e-05,-22.88209754,profit_to_less_profit,roi,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-01-26 21:00:00+00:00,short_pullback_restart,39.29364128,0.10000595744597125,34.84386709,0.09803710844511127,-4.449774189999999,profit_to_less_profit,roi,trailing_stop_loss,1,2
SUI/USDT:USDT,2025-02-16 14:00:00+00:00,short_compression_breakdown,38.46491288,0.0999910359646404,-0.02743392,-7.798873462406334e-05,-38.4923468,profit_to_loss,roi,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-04-19 17:00:00+00:00,short_pullback_restart,-13.677472,-0.020154341474630234,-11.74552908,-0.020154341474630237,1.9319429199999991,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-06-04 11:00:00+00:00,short_pullback_restart,56.71044483,0.10001357321683929,0.0583053,0.00011787886911316232,-56.65213953,profit_to_less_profit,roi,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-08-29 08:00:00+00:00,short_compression_breakdown,3.35225025,0.00985877951189106,0.03367698,0.00011399397755719514,-3.31857327,profit_to_less_profit,stale_flat_120h,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-09-24 04:00:00+00:00,short_pullback_restart,-15.95262614,-0.046995830436363295,-13.35282497,-0.046995830451194924,2.599801169999999,loss_to_more_loss,stop_loss,stop_loss,1,1
SUI/USDT:USDT,2025-09-25 01:00:00+00:00,short_pullback_restart,4.16719621,0.008444272508445552,3.49052024,0.008444272519477635,-0.6766759700000002,profit_to_more_profit,stale_flat_120h,stale_flat_120h,1,1
SUI/USDT:USDT,2025-11-19 06:00:00+00:00,short_pullback_restart,33.32261085,0.10002090611129862,0.08994219,0.0003248494526799345,-33.232668659999995,profit_to_less_profit,roi,trailing_stop_loss,1,1
SUI/USDT:USDT,2025-12-11 15:00:00+00:00,short_compression_breakdown,-18.55815133,-0.028985674177564643,-15.45481111,-0.028985674173141688,3.1033402200000015,loss_to_less_loss,stop_loss,stop_loss,1,1
SUI/USDT:USDT,2026-03-22 00:00:00+00:00,short_pullback_restart,-22.23066924,-0.04044913941937594,0.01209186,2.8945822106360206e-05,22.242761100000003,loss_to_profit,stop_loss,trailing_stop_loss,1,1
TAO/USDT:USDT,2024-06-10 05:00:00+00:00,short_pullback_restart,24.51051013,0.10000405156493089,0.02625104,0.00010541758756354764,-24.484259090000002,profit_to_less_profit,roi,trailing_stop_loss,1,1
TAO/USDT:USDT,2024-06-22 20:00:00+00:00,short_pullback_restart,-8.67051245,-0.03385775264989786,-8.64230038,-0.033857752687332515,0.028212070000000367,loss_to_more_loss,stop_loss,stop_loss,1,1
TAO/USDT:USDT,2024-11-02 13:00:00+00:00,short_pullback_restart,26.98351456,0.10000776837584258,19.78589188,0.07858828975554259,-7.1976226799999985,profit_to_less_profit,roi,trailing_stop_loss,1,2
TAO/USDT:USDT,2025-01-15 10:00:00+00:00,short_pullback_restart,-10.79290917,-0.04995236815556717,-9.76405241,-0.04995236816579906,1.02885676,loss_to_more_loss,stop_loss,stop_loss,1,1
TAO/USDT:USDT,2025-08-28 17:00:00+00:00,short_pullback_restart,4.35058831,0.009598088244002134,0.10074387,0.00025575281083014086,-4.24984444,profit_to_less_profit,stale_flat_120h,trailing_stop_loss,1,1
TAO/USDT:USDT,2025-09-04 16:00:00+00:00,short_compression_breakdown,-14.5421915,-0.030883179764607957,-12.59872043,-0.030883179768226226,1.9434710699999993,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,1,1
