pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
ETH/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,20.96625986,0.09999836123194321,900,2954.52,2656.71,True,209.77092,4
XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-21 07:00:00+00:00,short,short_pullback_restart,24.93920805,0.09999128348022635,900,2.0847,1.8744,True,249.53859,4
BNB/USDT:USDT,2025-11-25 15:00:00+00:00,2025-11-25 23:00:00+00:00,short,short_pullback_restart,-9.1384362,-0.030152970059613076,480,842.28,866.81,True,303.2208,4
NEAR/USDT:USDT,2025-11-28 02:00:00+00:00,2025-11-28 15:00:00+00:00,short,short_pullback_restart,-8.91744781,-0.040954742592918876,780,1.878,1.953,True,217.848,4
NEAR/USDT:USDT,2025-11-29 15:00:00+00:00,2025-12-01 03:00:00+00:00,short,short_compression_breakdown,34.61429912,0.10004915534908312,2160,1.861,1.673,True,346.146,4
TAO/USDT:USDT,2025-11-29 18:00:00+00:00,2025-12-01 11:00:00+00:00,short,short_compression_breakdown,33.31052712,0.10000055725186731,2460,293.63,263.93,True,333.27005,4
DOGE/USDT:USDT,2025-12-07 14:00:00+00:00,2025-12-07 17:00:00+00:00,short,short_pullback_restart,-9.25097956,-0.021439629741349265,180,0.13819,0.14101,True,431.70556,4
XRP/USDT:USDT,2025-12-05 10:00:00+00:00,2025-12-08 09:00:00+00:00,short,short_compression_breakdown,-9.73590657,-0.030014890877394205,4260,2.0566,2.1153,True,324.53148,4
SUI/USDT:USDT,2025-12-11 15:00:00+00:00,2025-12-11 18:00:00+00:00,short,short_compression_breakdown,-9.44264203,-0.02898567417833973,180,1.5259,1.5685,True,325.93224,4
NEAR/USDT:USDT,2025-12-14 18:00:00+00:00,2025-12-15 02:00:00+00:00,short,short_compression_breakdown,-8.50292049,-0.03199821742333869,480,1.592,1.641,True,265.864,4
ADA/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-18 17:00:00+00:00,short,short_pullback_restart,21.92164348,0.10001386158001478,4440,0.3923,0.3528,True,219.2957,4
NEAR/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-18 17:00:00+00:00,short,short_pullback_restart,-0.98482359,-0.007242203334931218,4440,1.582,1.592,True,136.052,4
XRP/USDT:USDT,2025-12-14 11:00:00+00:00,2025-12-18 19:00:00+00:00,short,short_pullback_restart,42.17467556,0.100010100246522,6240,2.0053,1.8008,True,421.91512,4
SUI/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-21 09:00:00+00:00,short,short_pullback_restart,-1.22406924,-0.019307486328170642,420,1.4416,1.4681,True,63.4304,4
SOL/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-22 00:00:00+00:00,short,short_pullback_restart,-6.47942538,-0.014726264832327479,1320,125.06,126.79,True,440.2112,4
TAO/USDT:USDT,2025-12-21 13:00:00+00:00,2025-12-22 12:00:00+00:00,short,short_compression_breakdown,-2.08918239,-0.03362893819982611,1380,220.41,227.58,True,62.15562,4
ADA/USDT:USDT,2025-12-21 02:00:00+00:00,2025-12-22 15:00:00+00:00,short,short_pullback_restart,-9.64496615,-0.028690925281631353,2220,0.3696,0.3798,True,336.336,4
ADA/USDT:USDT,2025-12-23 14:00:00+00:00,2025-12-27 21:00:00+00:00,short,short_compression_breakdown,-0.48346161,-0.0017341790430457139,6180,0.3613,0.3617,True,278.9236,4
XRP/USDT:USDT,2025-12-28 19:00:00+00:00,2025-12-29 01:00:00+00:00,short,short_pullback_restart,-6.13081046,-0.014136308445894884,360,1.8559,1.8803,True,433.90942,4
PAXG/USDT:USDT,2025-12-12 00:00:00+00:00,2025-12-29 09:00:00+00:00,long,long_1d_center_compression,18.03996154,0.04296294593154271,25020,4282.51,4473.2,False,419.68598,4
NEAR/USDT:USDT,2025-12-31 11:00:00+00:00,2026-01-01 11:00:00+00:00,short,short_compression_breakdown,-9.51396647,-0.022744864594782456,1440,1.5,1.533,True,418.5,4
ADA/USDT:USDT,2026-01-20 09:00:00+00:00,2026-01-21 22:00:00+00:00,short,short_pullback_restart,-9.4467948,-0.03500375187362212,2220,0.3605,0.3728,True,270.0145,4
PAXG/USDT:USDT,2026-01-07 00:00:00+00:00,2026-01-22 23:00:00+00:00,long,long_1d_center_compression,43.29548352,0.09999960853344798,22980,4507.71,4971.15,False,432.74016,4
ADA/USDT:USDT,2026-01-22 15:00:00+00:00,2026-01-23 17:00:00+00:00,short,short_pullback_restart,-4.27117279,-0.029336495683751455,1560,0.3579,0.368,True,145.6653,4
ZEC/USDT:USDT,2026-01-23 08:00:00+00:00,2026-01-23 17:00:00+00:00,short,short_pullback_restart,-9.8872173,-0.042614198227408064,540,358.23,372.97,True,232.13304,4
ETH/USDT:USDT,2026-01-25 04:00:00+00:00,2026-01-27 16:00:00+00:00,short,short_pullback_restart,-4.51620109,-0.010240577656964447,3600,2941.54,2969.6,True,441.231,4
XRP/USDT:USDT,2026-01-22 14:00:00+00:00,2026-01-27 17:00:00+00:00,short,short_pullback_restart,3.21101916,0.007562894512221109,7380,1.9291,1.9129,True,424.78782,4
TAO/USDT:USDT,2026-01-25 05:00:00+00:00,2026-01-28 06:00:00+00:00,short,short_pullback_restart,-1.22723182,-0.007382766379512942,4380,235.57,237.12,True,166.31242,4
NEAR/USDT:USDT,2026-01-20 07:00:00+00:00,2026-01-29 14:00:00+00:00,short,short_pullback_restart,22.87578029,0.09974080761918261,13380,1.561,1.405,True,229.467,4
TAO/USDT:USDT,2026-01-29 02:00:00+00:00,2026-01-30 01:00:00+00:00,short,short_pullback_restart,25.3588745,0.0999954095594386,1380,233.85,210.24,True,253.72725,4
ADA/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-31 04:00:00+00:00,short,short_pullback_restart,27.74487807,0.0998993672111151,2940,0.3504,0.315,True,277.8672,4
XRP/USDT:USDT,2026-01-29 03:00:00+00:00,2026-01-31 08:00:00+00:00,short,short_pullback_restart,28.42677767,0.10000445914600645,3180,1.8735,1.683,True,284.3973,4
BTC/USDT:USDT,2026-01-29 15:00:00+00:00,2026-01-31 17:00:00+00:00,short,short_compression_breakdown,43.46777421,0.1000002735597289,3000,86978.8,78228.0,True,434.894,4
LINK/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 17:00:00+00:00,short,short_pullback_restart,23.00380103,0.09995938131007519,480,10.461,9.406,True,230.24661,4
BNB/USDT:USDT,2026-01-31 09:00:00+00:00,2026-01-31 18:00:00+00:00,short,short_pullback_restart,30.93047005,0.1000056004710114,540,836.33,751.94,True,309.4421,4
TAO/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-03 20:00:00+00:00,short,short_pullback_restart,-11.15915549,-0.0434994492561048,300,191.97,200.14,True,256.66389,4
SOL/USDT:USDT,2026-02-03 15:00:00+00:00,2026-02-04 17:00:00+00:00,short,short_pullback_restart,24.27632228,0.1000020031030025,1560,100.78,90.5,True,242.8798,4
BNB/USDT:USDT,2026-02-03 18:00:00+00:00,2026-02-05 11:00:00+00:00,short,short_pullback_restart,23.27994445,0.10000420875675889,2460,751.31,675.5,True,232.9061,4
BTC/USDT:USDT,2026-02-03 17:00:00+00:00,2026-02-05 15:00:00+00:00,short,short_pullback_restart,22.92612476,0.10000058226489938,2760,76458.2,68756.7,True,229.3746,4
NEAR/USDT:USDT,2026-02-04 14:00:00+00:00,2026-02-05 15:00:00+00:00,short,short_pullback_restart,25.89611447,0.10024518200127006,1500,1.159,1.042,True,258.457,4
ADA/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-13 08:00:00+00:00,short,short_pullback_restart,-0.24698569,-0.0009663576391499467,4380,0.262,0.2619,True,255.712,4
DOGE/USDT:USDT,2026-02-10 07:00:00+00:00,2026-02-13 09:00:00+00:00,short,short_pullback_restart,-1.96163601,-0.007109770278703107,4440,0.09329,0.09384,True,276.04511,4
SOL/USDT:USDT,2026-02-10 19:00:00+00:00,2026-02-13 18:00:00+00:00,short,short_compression_breakdown,-9.29433398,-0.03214459136382933,4260,82.89,85.42,True,289.2861,4
BNB/USDT:USDT,2026-02-09 08:00:00+00:00,2026-02-14 09:00:00+00:00,short,short_pullback_restart,2.0351346,0.006318677262188902,7260,631.85,627.23,True,322.2435,4
ETH/USDT:USDT,2026-02-17 15:00:00+00:00,2026-02-17 16:00:00+00:00,short,short_pullback_restart,-10.9948751,-0.03209269714059104,60,1947.55,2007.95,True,342.7688,4
