pair,entry_tag,matrix,period,btc_4h_regime,btc_1d_regime,range_market,false_breakdown,quick_reverse_1h_5h,duration_bucket,trades,profit_abs,profit_pct,pf,maxdd_pct,winrate,avg_profit,avg_duration,avg_MAE,avg_MFE
ADA/USDT:USDT,short_pullback_restart,btc_4h_regime,,range,,,,,,4,-12.4351,-1.2435,0.7274,4.4151,25.0000,0.3922,31.5000,2.4392,6.8073
ADA/USDT:USDT,short_pullback_restart,btc_4h_regime,,up,,,,,,1,-14.1537,-1.4154,0.0000,1.4154,0.0000,-3.4303,5.0000,3.5025,0.4036
BNB/USDT:USDT,long_1d_center_compression,btc_4h_regime,,range,,,,,,1,38.8830,3.8883,inf,0.0000,100.0000,9.9995,24.0000,0.2680,11.4922
BNB/USDT:USDT,long_1d_center_compression,btc_4h_regime,,up,,,,,,6,62.3352,6.2335,2.3448,4.4713,33.3333,2.0807,67.8333,1.7907,5.9324
BNB/USDT:USDT,short_compression_breakdown,btc_4h_regime,,down,,,,,,1,17.7242,1.7724,inf,0.0000,100.0000,10.0009,24.0000,1.1967,13.3831
BNB/USDT:USDT,short_pullback_restart,btc_4h_regime,,down,,,,,,10,51.8723,5.1872,1.6153,4.9509,40.0000,1.2281,48.5000,2.6758,5.3283
BNB/USDT:USDT,short_pullback_restart,btc_4h_regime,,range,,,,,,1,5.4021,0.5402,inf,0.0000,100.0000,0.5560,121.0000,1.4100,6.6491
BTC/USDT:USDT,long_1d_center_compression,btc_4h_regime,,up,,,,,,13,86.4999,8.6500,1.9943,4.1237,30.7692,1.7871,89.4615,1.6093,5.1468
BTC/USDT:USDT,short_compression_breakdown,btc_4h_regime,,down,,,,,,5,111.3981,11.1398,16.5836,0.6174,60.0000,3.3750,73.4000,1.2358,7.3695
BTC/USDT:USDT,short_compression_breakdown,btc_4h_regime,,range,,,,,,2,-17.2241,-1.7224,0.0000,1.7224,0.0000,-2.5397,14.5000,2.9258,1.1179
BTC/USDT:USDT,short_pullback_restart,btc_4h_regime,,down,,,,,,16,-28.1787,-2.8179,0.7789,5.9257,25.0000,-0.1345,47.9375,2.2867,3.8037
BTC/USDT:USDT,short_pullback_restart,btc_4h_regime,,range,,,,,,1,59.8430,5.9843,inf,0.0000,100.0000,10.0000,38.0000,0.0651,10.4906
DOGE/USDT:USDT,long_1d_center_compression,btc_4h_regime,,up,,,,,,2,34.3382,3.4338,5.8117,0.7136,50.0000,3.9521,8.0000,1.6881,5.7500
DOGE/USDT:USDT,short_compression_breakdown,btc_4h_regime,,down,,,,,,3,14.4585,1.4458,2.3759,0.8707,33.3333,2.0773,33.3333,1.7973,5.6154
DOGE/USDT:USDT,short_compression_breakdown,btc_4h_regime,,range,,,,,,1,34.2426,3.4243,inf,0.0000,100.0000,10.0010,13.0000,1.0954,10.3060
DOGE/USDT:USDT,short_compression_breakdown,btc_4h_regime,,up,,,,,,1,39.4490,3.9449,inf,0.0000,100.0000,10.0007,119.0000,2.2711,10.4462
DOGE/USDT:USDT,short_pullback_restart,btc_4h_regime,,down,,,,,,13,33.4636,3.3464,1.3005,5.3005,30.7692,1.1031,28.3077,2.6074,5.5445
ETH/USDT:USDT,long_1d_center_compression,btc_4h_regime,,range,,,,,,1,71.5587,7.1559,inf,0.0000,100.0000,9.9999,46.0000,0.8111,10.6652
ETH/USDT:USDT,long_1d_center_compression,btc_4h_regime,,up,,,,,,5,23.1547,2.3155,1.5280,2.8818,20.0000,0.2962,28.6000,1.9477,2.6736
ETH/USDT:USDT,short_compression_breakdown,btc_4h_regime,,down,,,,,,4,28.6054,2.8605,2.1377,1.5692,50.0000,3.3143,17.5000,2.0616,6.2570
ETH/USDT:USDT,short_compression_breakdown,btc_4h_regime,,range,,,,,,2,67.9417,6.7942,187.8738,0.0364,50.0000,4.9484,104.0000,1.4119,6.8012
ETH/USDT:USDT,short_pullback_restart,btc_4h_regime,,down,,,,,,15,162.7480,16.2748,2.6655,2.7980,40.0000,2.5545,36.0667,2.0825,6.5854
ETH/USDT:USDT,short_pullback_restart,btc_4h_regime,,range,,,,,,2,-2.3235,-0.2323,0.0000,0.2323,0.0000,-0.5200,90.5000,1.5413,2.0801
ETH/USDT:USDT,short_pullback_restart,btc_4h_regime,,up,,,,,,1,-5.9266,-0.5927,0.0000,0.5927,0.0000,-1.7162,2.0000,2.6275,0.5166
