strategy_label,rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5
Baseline,pair_4h_ema50_slope_3 <= -0.0075 AND btc_4h_trend_down == 1,2,15,0.36585365853658536,0.4666666666666667,0.0032520325203251876,0.06018690474131282,0.055243053880348544,0.053726916368772984
Baseline,adverse_before_5pct <= 0.012 AND pair_1h_range_position_24h <= 0.2,2,17,0.4146341463414634,0.5882352941176471,0.12482065997130559,0.05892783752708861,0.055243053880348544,0.05370178629171967
Baseline,hours_to_5pct <= 24 AND pair_1h_range_position_24h <= 0.2,2,12,0.2926829268292683,0.5,0.036585365853658514,0.0625736914036551,0.055243053880348544,0.053680104801069786
Baseline,hours_to_5pct <= 32,1,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_4h_ema50_slope_3 <= -0.0025,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_4h_close_vs_ema50 <= -0.03,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_4h_close_vs_ema50 <= -0.02,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_4h_close_vs_ema50 <= -0.01,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_4h_close_vs_ema50 <= 0.0,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_1h_ret_6h <= -0.01,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_1h_ret_6h <= -0.005,2,30,0.7317073170731707,0.5,0.036585365853658514,0.055006450161941015,0.055243053880348544,0.0536632562160544
Baseline,hours_to_5pct <= 32 AND pair_1h_ret_6h <= -0.015,2,25,0.6097560975609756,0.52,0.05658536585365853,0.0560029471671096,0.055243053880348544,0.05366033363848147
Baseline,adverse_before_5pct <= 0.012 AND pair_1h_range_position_24h <= 0.3,2,23,0.5609756097560976,0.5652173913043478,0.1018027571580063,0.05650841725942385,0.055243053880348544,0.0536510633406524
Baseline,hours_to_5pct <= 32 AND btc_1d_close_vs_ema50 <= -0.01,2,24,0.5853658536585366,0.5,0.036585365853658514,0.05622602190704903,0.055243053880348544,0.05364450062851651
Baseline,hours_to_5pct <= 32 AND btc_1d_close_vs_ema50 <= 0.0,2,26,0.6341463414634146,0.5,0.036585365853658514,0.055747031334865145,0.055243053880348544,0.05364445889528033
Baseline,adverse_before_5pct <= 0.012 AND pair_1h_ret_6h <= -0.02,2,23,0.5609756097560976,0.5652173913043478,0.1018027571580063,0.056483876050422634,0.055243053880348544,0.053637296320968794
Baseline,hours_to_5pct <= 28 AND pair_1h_ret_6h <= -0.015,2,23,0.5609756097560976,0.5217391304347826,0.05832449628844111,0.056471646536185784,0.055243053880348544,0.05363043586176276
Baseline,adverse_before_5pct <= 0.014 AND pair_1h_range_position_24h <= 0.4,2,29,0.7073170731707317,0.5517241379310345,0.08830950378469299,0.055123725177252815,0.055243053880348544,0.053624098296105656
Baseline,hours_to_5pct <= 28 AND pair_4h_ema50_slope_3 <= -0.0075,2,16,0.3902439024390244,0.5,0.036585365853658514,0.05925316766632324,0.055243053880348544,0.053610992260028585
Baseline,hours_to_5pct <= 32 AND pair_4h_ema50_slope_3 <= -0.0075,2,16,0.3902439024390244,0.5,0.036585365853658514,0.05925316766632324,0.055243053880348544,0.053610992260028585
Baseline,hours_to_5pct <= 24 AND btc_1d_close_vs_ema50 <= -0.01,2,18,0.43902439024390244,0.5,0.036585365853658514,0.058223294951182364,0.055243053880348544,0.0536102270517386
Baseline,adverse_before_5pct <= 0.014 AND pair_4h_ema50_slope_3 <= -0.005,2,27,0.6585365853658537,0.5555555555555556,0.0921409214092141,0.05547752644479563,0.055243053880348544,0.053607151561206885
Baseline,hours_to_5pct <= 28 AND pair_1h_range_position_24h <= 0.5,2,26,0.6341463414634146,0.5,0.036585365853658514,0.05567467683342757,0.055243053880348544,0.05359857555290529
Baseline,adverse_before_5pct <= 0.01 AND hours_to_5pct <= 24,2,17,0.4146341463414634,0.5882352941176471,0.12482065997130559,0.058675834900938285,0.055243053880348544,0.05359729739795002
Baseline,hours_to_5pct <= 28 AND btc_4h_trend_down == 1,2,22,0.5365853658536586,0.5,0.036585365853658514,0.05670042443971143,0.055243053880348544,0.05359534969935736
Baseline,adverse_before_5pct <= 0.01 AND pair_4h_ema50_slope_3 <= -0.005,2,23,0.5609756097560976,0.5652173913043478,0.1018027571580063,0.056406768854815596,0.055243053880348544,0.05359404106489655
Baseline,adverse_before_5pct <= 0.016 AND pair_4h_ema50_slope_3 <= -0.0075,2,14,0.34146341463414637,0.5714285714285714,0.10801393728222991,0.06052124763931672,0.055243053880348544,0.05359262114513254
Baseline,adverse_before_5pct <= 0.014 AND pair_4h_ema50_slope_3 <= -0.0075,2,13,0.3170731707317073,0.6153846153846154,0.15196998123827393,0.061327984206590434,0.055243053880348544,0.05359179987038234
Baseline,adverse_before_5pct <= 0.016 AND hours_to_5pct <= 28,2,24,0.5853658536585366,0.5416666666666666,0.07825203252032514,0.05613120912988582,0.055243053880348544,0.05358900046627463
Baseline,adverse_before_5pct <= 0.012 AND hours_to_5pct <= 28,2,23,0.5609756097560976,0.5652173913043478,0.1018027571580063,0.05639631942836962,0.055243053880348544,0.053588179191524414
