group_type,group_value,extreme_event_count,final_signal_count,sample_status,pf_proxy_72h,avg_return_6h_pct,avg_return_24h_pct,avg_return_72h_pct,avg_mfe_24h_pct,avg_mae_24h_pct,avg_mfe_72h_pct,avg_mae_72h_pct,first_to_1r_pct,first_to_2r_pct,first_to_stop_pct,avg_max_r,avg_min_r,avg_lower_wick_pct,avg_upper_wick_pct,avg_volume_ratio,low_sweep_reclaim_pct,high_sweep_reject_pct,combination
side,short,360,9,insufficient,0.057751081973018724,-1.1421899747332702,-1.724665718553468,-4.047040353684971,2.089200188537308,5.0006166258895846,3.243022965459546,9.768364278465203,11.11111111111111,0.0,55.55555555555556,0.652329165835557,-1.491036041668643,8.937729996100158,11.858075642032254,5.206154492892604,0.0,11.11111111111111,A_72h_weak
pair,BTC/USDT:USDT,58,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_72h_weak
pair,ETH/USDT:USDT,64,2,insufficient,0.21156563657969718,0.28796272486616425,-2.7340273472596546,-0.2818398333302996,2.950923104361979,4.846112988916392,2.950923104361979,6.416734065128324,0.0,0.0,100.0,0.9733620257563629,-2.0948866068584726,11.086083310002104,19.79288766624427,2.788922571158877,0.0,0.0,A_72h_weak
pair,PAXG/USDT:USDT,34,2,insufficient,2.3670160818668906,-0.03026876683433488,0.08682578583175116,0.47975886836887915,0.7524138362652273,0.4513802713344366,1.881303380580221,1.1520613305850342,50.0,0.0,0.0,1.0316189908390612,-0.6991137378339495,5.091103965701797,1.7761445414176444,4.8758249729487915,0.0,0.0,A_72h_weak
pair,SUI/USDT:USDT,42,1,insufficient,0.0,0.07057163020465218,0.7920389926888705,-5.959261013737571,2.982067298005246,2.0350594398549147,3.667136812411846,11.394317952851084,0.0,0.0,100.0,0.8085876915706882,-2.5123974702374934,15.258855585831169,0.0,5.274881973338971,0.0,0.0,A_72h_weak
pair,TAO/USDT:USDT,18,3,insufficient,0.0,0.18713779959989388,-2.0722605468680837,-7.000898319149022,2.202779753981646,6.887998611412186,2.6226990002804356,14.734370641165304,0.0,0.0,33.33333333333333,0.40070397180015144,-1.5316355938572919,7.162607799434504,7.84535265874874,4.234770835428313,0.0,0.0,A_72h_weak
pair,ZEC/USDT:USDT,54,2,insufficient,0.0,-3.0297468417029405,-2.775600573928194,-5.738715788683868,4.345703125000003,8.593493992682895,6.967218052214411,11.327868992682887,0.0,0.0,50.0,0.6362708578086155,-0.9664853722653115,0.30892166585557135,32.704595269174604,8.344737349495052,0.0,50.0,A_72h_weak
year,2023,-,1,insufficient,inf,-0.007850496637373805,-1.3826006164555316,0.41973269259647505,0.5106962067908335,2.7374213954044846,1.449465002729199,2.7374213954044846,0.0,0.0,100.0,0.5531137465384152,-1.044596041308814,18.318896374719355,4.3150465190890905,4.254952652254201,0.0,0.0,A_72h_weak
year,2024,-,1,insufficient,inf,-1.1382413483974396,-4.136529398223876,0.1512557709772322,2.8793139946729585,5.832245915468932,2.8793139946729585,8.973488067892797,0.0,0.0,100.0,0.9261771152887605,-2.886465077506442,16.973175588614033,18.355394166569162,1.862076383893503,0.0,0.0,A_72h_weak
year,2025,-,4,insufficient,0.1364133578114152,-1.5300078042686378,-1.3443873940482214,-2.6294784601574945,2.549058480632615,4.522437132008665,4.424260716397316,6.239965161633961,25.0,0.0,25.0,0.8339449243238384,-0.8327995550496304,2.7000128157786842,17.240369905296124,6.6102811612219226,0.0,25.0,A_72h_weak
year,2026,-,5,insufficient,0.0,0.4692303654268204,-1.3512535888421628,-5.535378281764493,2.5225877548002367,5.311807067291065,2.91155320546083,11.89148198774217,0.0,0.0,60.0,0.6062493086390216,-1.6821224776039743,8.38913400310497,8.953287828433119,4.338992647609632,0.0,0.0,A_72h_weak
