variant,pair,open_date,enter_tag,baseline_profit_abs,baseline_profit_ratio,variant_profit_abs,variant_profit_ratio,delta_profit_abs,bucket,baseline_exit_reason,variant_exit_reason,baseline_partials,variant_partials,baseline_exit_orders,variant_exit_orders
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-06-21 09:00:00+00:00,short_compression_breakdown,-8.46443668,-0.03968386915514242,-8.46443668,-0.03968386915514242,0.0,same,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-10-21 00:00:00+00:00,long_1d_center_compression,-0.07947336,-0.00019769054667505577,-0.07947336,-0.00019769054667505577,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2024-12-18 20:00:00+00:00,short_compression_breakdown,0.00065656,2.6769553822954782e-06,0.00065656,2.6769553822954782e-06,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-02-05 16:00:00+00:00,short_compression_breakdown,-0.03759996,-0.0001504548564060684,-0.03759996,-0.0001504548564060684,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-02-06 15:00:00+00:00,short_pullback_restart,0.02048699,9.814682741600448e-05,0.02048699,9.814682741600448e-05,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-02-16 14:00:00+00:00,short_pullback_restart,46.99336837,0.14863255543712697,47.3936184,0.1498984826697589,0.40025003000000225,bigwin_more_profit,trailing_stop_loss,trailing_stop_loss,3,3,4,4
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-03-18 14:00:00+00:00,short_compression_breakdown,-8.63449108,-0.03285943235594488,-8.9959349,-0.03285943238278796,-0.36144381999999986,loss_to_more_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-03-30 14:00:00+00:00,short_pullback_restart,-10.66751748,-0.028364240600920534,-11.05224762,-0.028364240604454558,-0.3847301399999985,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-04-05 14:00:00+00:00,short_pullback_restart,17.2750017,0.07563540707059865,17.8670771,0.07550335219037581,0.5920753999999988,profit_to_less_profit,trailing_stop_loss,trailing_stop_loss,1,1,2,2
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-05-09 00:00:00+00:00,long_1d_center_compression,-10.50992561,-0.021017484516731515,-10.92479109,-0.02101748450787175,-0.41486547999999956,loss_to_less_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-06-05 14:00:00+00:00,short_pullback_restart,-0.03853389,-0.00011454302596716776,-0.0399101,-0.00011454302494215846,-0.0013762099999999958,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-06-19 15:00:00+00:00,short_pullback_restart,-10.70533437,-0.030930916492069166,-11.10346664,-0.03093091649218428,-0.3981322700000014,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-09-11 00:00:00+00:00,long_1d_center_compression,-0.00171133,-3.156237175798068e-06,-0.00177497,-3.1562291666071973e-06,-6.364000000000001e-05,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-10-19 09:00:00+00:00,short_pullback_restart,-12.648285,-0.022915059224527516,-13.11205545,-0.02291505922452752,-0.46377045000000017,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-10-20 17:00:00+00:00,short_pullback_restart,-0.0233789,-7.751331195993941e-05,-0.02425016,-7.751330123908226e-05,-0.0008712599999999987,loss_to_less_loss,trailing_stop_loss,trailing_stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2025-12-21 02:00:00+00:00,short_pullback_restart,-8.65150548,-0.014726264834068328,-8.98283974,-0.014726264846485737,-0.33133425999999844,loss_to_more_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SOL/USDT:USDT,2026-01-27 14:00:00+00:00,short_pullback_restart,-11.06370898,-0.018535842348839086,-11.49713263,-0.01853584234760915,-0.43342364999999994,loss_to_less_loss,stop_loss,stop_loss,0,0,1,1
DualTrendCombinedShortPullbackShapePartialLadderA1FourStepPostTp1LooseA1Roi50Strategy,SUI/USDT:USDT,2023-07-30 20:00:00+00:00,short_pullback_restart,-0.45279074,-0.0018114209405415607,-0.45279074,-0.0018114209405415607,0.0,same,trailing_stop_loss,trailing_stop_loss,0,0,1,1
