pair,open_date,close_date,profit_pct,profit_abs,exit_reason,mfe_pct,mae_pct,touched_5pct,hours_to_5pct,reached_10pct,hours_open_to_close,post5_extra_mfe_pct,post5_retrace_to_be,post5_retrace_to_lock1,post5_retrace_to_lock2,post5_retrace_to_lock3,post5_retrace_to_lock4,sim_be,sim_lock1,sim_lock2,sim_lock3,sim_lock4
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-23 09:40:00+00:00,-2.0948649271278073,-9.21305996,stop_loss,4.8728813559322095,2.2653194263363794,False,,False,,,,,,,,,,,,
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,-0.9128082315089081,-3.91730364,stale_loss_72h,0.8151628806068953,1.9245381655491913,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,-1.1660219761699688,-3.18952581,stale_loss_72h,2.4776604386677477,3.0463038180341186,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 15:05:00+00:00,-1.379127218396248,-3.9203157,stale_loss_72h,1.6445792751077808,1.8042471658949257,False,,False,,,,,,,,,,,,
SOL/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-29 14:30:00+00:00,-0.16461119813351852,-0.39751625,stale_loss_72h,5.774574914040802,1.6155621496867785,True,27.083333333333332,False,119.5,0.7745749140407997,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
DOGE/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-05 02:45:00+00:00,-2.105257856092796,-8.83134513,stop_loss,0.14453187730849495,2.039505379797656,False,,False,,,,,,,,,,,,
BTC/USDT:USDT,2023-09-04 22:00:00+00:00,2023-09-06 17:55:00+00:00,-1.3319072279037183,-5.46641747,trailing_stop_loss,1.3174044677194936,1.5114498462833355,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-09-06 15:00:00+00:00,2023-09-07 21:05:00+00:00,-1.4516404796229088,-6.04543688,stop_loss,1.6041708441948972,1.463805895327858,False,,False,,,,,,,,,,,,
ADA/USDT:USDT,2023-09-26 16:00:00+00:00,2023-09-27 11:10:00+00:00,-1.0547163391399395,-4.31987669,trailing_stop_loss,0.6952965235173852,0.9815950920245453,False,,False,,,,,,,,,,,,
BNB/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-12 11:50:00+00:00,-1.7467558175080469,-1.59989175,stop_loss,0.14731879787860094,1.8807699862502518,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2023-10-12 09:00:00+00:00,2023-10-13 20:50:00+00:00,-2.8183832743211368,-8.89295168,stop_loss,1.007768213310944,2.8763384421583016,False,,False,,,,,,,,,,,,
ETH/USDT:USDT,2023-10-12 10:00:00+00:00,2023-10-13 21:00:00+00:00,-1.9902485927943212,-8.0620015,stop_loss,1.7183870004802153,2.242079715505714,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2023-12-31 21:00:00+00:00,2024-01-03 12:05:00+00:00,9.990928483269588,21.61071842,roi,23.586604249189776,2.052574720921859,True,1.8333333333333333,True,63.083333333333336,18.586604249189776,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
ADA/USDT:USDT,2024-01-18 11:00:00+00:00,2024-01-21 11:05:00+00:00,-0.6710861252531919,-2.21119704,stale_loss_72h,8.703237061446027,1.4731537119596703,True,16.416666666666668,False,72.08333333333333,3.703237061446024,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
NEAR/USDT:USDT,2024-01-21 16:00:00+00:00,2024-01-22 15:20:00+00:00,9.99702215644592,29.01423874,roi,10.15862301721229,0.9112386095173854,True,17.833333333333332,True,23.333333333333332,5.158623017212283,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
BTC/USDT:USDT,2024-01-22 02:00:00+00:00,2024-01-26 12:30:00+00:00,-0.1910600129923311,-0.71091322,stale_loss_72h,6.814879641426465,0.3048551998239976,True,31.0,False,106.5,1.8148796414264656,True,True,True,True,True,stop_first,stop_first,stop_first,stop_first,stop_first
ETH/USDT:USDT,2024-01-29 14:00:00+00:00,2024-01-29 16:00:00+00:00,-1.7161580495909716,-7.19656384,stop_loss,0.5165827981048295,1.721794088937803,False,,False,,,,,,,,,,,,
XRP/USDT:USDT,2024-01-22 00:00:00+00:00,2024-01-31 14:05:00+00:00,10.006139862841795,41.0358844,roi,11.436413540713634,0.6221408966148343,True,19.666666666666668,True,230.08333333333334,6.436413540713624,False,False,True,True,True,reach10_first,reach10_first,stop_first,stop_first,stop_first
TRX/USDT:USDT,2024-03-22 14:00:00+00:00,2024-03-25 14:05:00+00:00,-1.533756398914818,-4.15537275,stale_loss_72h,1.8618156973268438,3.0318558373900397,False,,False,,,,,,,,,,,,
ZEC/USDT:USDT,2024-04-12 14:00:00+00:00,2024-04-12 18:30:00+00:00,9.981288234234574,32.31650012,roi,14.710365853658535,1.0670731707317118,True,3.4166666666666665,True,4.5,9.71036585365853,False,False,False,True,True,reach10_first,reach10_first,reach10_first,stop_first,stop_first
TRX/USDT:USDT,2024-04-17 15:00:00+00:00,2024-04-20 15:45:00+00:00,-0.056679696523946874,-0.21567738,stale_loss_72h,4.772727272727277,0.9727272727272741,False,,False,,,,,,,,,,,,
LINK/USDT:USDT,2024-04-28 23:00:00+00:00,2024-05-01 08:20:00+00:00,10.002311684131463,36.87420112,roi,10.59086645985138,2.488997907798852,True,36.666666666666664,True,57.333333333333336,5.590866459851372,False,False,False,False,False,reach10_first,reach10_first,reach10_first,reach10_first,reach10_first
XRP/USDT:USDT,2024-04-30 09:00:00+00:00,2024-05-01 19:15:00+00:00,-3.98193152792193,-10.73926585,stop_loss,4.731483330005989,3.9329207426631942,False,,False,,,,,,,,,,,,
DOGE/USDT:USDT,2024-05-12 08:00:00+00:00,2024-05-13 08:05:00+00:00,-3.4933731338252296,-10.16872306,trailing_stop_loss,3.1466286122012113,3.5676061362825577,False,,False,,,,,,,,,,,,
LINK/USDT:USDT,2024-05-11 21:00:00+00:00,2024-05-13 08:40:00+00:00,-2.264372304580432,-10.78307605,trailing_stop_loss,2.193606348730997,2.335853859399575,False,,False,,,,,,,,,,,,
