rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
hours_to_5pct <= 18 AND node_ret_3h <= -0.015,2,49,0.4049586776859504,0.7346938775510204,0.048743464327879904,0.06987768970957602,0.06548097785796705,0.06726146447556075,0.05804964294024153,0.05402482147012077
hours_to_5pct <= 20 AND node_ret_3h <= -0.015,2,49,0.4049586776859504,0.7346938775510204,0.048743464327879904,0.06987768970957602,0.06548097785796705,0.06726146447556075,0.05804964294024153,0.05402482147012077
adverse_before_5pct <= 0.01 AND hours_to_5pct <= 14,2,33,0.2727272727272727,0.8181818181818182,0.1322314049586777,0.07927627634122339,0.06275591002593726,0.06726146447556075,0.05798443900215183,0.05399221950107592
node_body_ratio >= 0.3 AND node_ret_3h <= -0.03,2,56,0.4628099173553719,0.6964285714285714,0.010478158205430854,0.067210012310236,0.06730579249491747,0.06726146447556075,0.05796496437498525,0.05398248218749263
hours_to_5pct <= 12 AND node_close_profit >= 0.047,2,27,0.2231404958677686,0.8888888888888888,0.2029384756657483,0.0855425310307245,0.06201051982673714,0.06726146447556075,0.05793097799859142,0.053965488999295715
node_close_profit >= 0.05 AND node_close_position <= 0.25,2,37,0.30578512396694213,0.7567567567567568,0.07080634353361626,0.07569138572813526,0.06354828487621247,0.06726146447556075,0.057856043569760374,0.05392802178488019
node_close_profit >= 0.05 AND node_close_position <= 0.3,2,37,0.30578512396694213,0.7567567567567568,0.07080634353361626,0.07569138572813526,0.06354828487621247,0.06726146447556075,0.057856043569760374,0.05392802178488019
node_close_position <= 0.3 AND node_ret_3h <= -0.02,2,42,0.34710743801652894,0.7380952380952381,0.052144824872097595,0.07257944740703962,0.0644341824107239,0.06726146447556075,0.05783749414128648,0.053918747070643244
node_close_profit >= 0.05 AND node_close_position <= 0.4,2,42,0.34710743801652894,0.7380952380952381,0.052144824872097595,0.07257821417387986,0.0644348380536696,0.06726146447556075,0.05783706607688392,0.053918533038441956
adverse_before_5pct <= 0.0075 AND node_ret_3h <= -0.015,2,34,0.2809917355371901,0.7941176470588235,0.10816723383568294,0.07786081101156318,0.06311919111666325,0.06726146447556075,0.0578286576396128,0.0539143288198064
